Date,Open,High,Low,Close
"Dec 31, 2019",27,28.09,26.81,27.89
"Jan 2, 2020",28.3,28.71,28.11,28.68
"Jan 3, 2020",29.37,30.27,29.13,29.53
"Jan 6, 2020",29.36,30.1,29.33,30.1
"Jan 7, 2020",30.76,31.44,30.22,31.27
"Jan 8, 2020",31.58,33.23,31.22,32.81
"Jan 9, 2020",33.14,33.25,31.52,32.09
"Jan 10, 2020",32.12,32.33,31.58,31.88
"Jan 13, 2020",32.9,35.04,32.8,34.99
"Jan 14, 2020",36.28,36.49,34.99,35.86
"Jan 15, 2020",35.32,35.86,34.45,34.57
"Jan 16, 2020",32.92,34.3,32.81,34.23
"Jan 17, 2020",33.84,34.38,33.54,34.03
"Jan 21, 2020",35.35,36.57,35.23,36.48
"Jan 22, 2020",38.13,39.63,37.27,37.97
"Jan 23, 2020",37.62,38.8,37.04,38.15
"Jan 24, 2020",38.04,38.26,36.95,37.65
"Jan 27, 2020",36.13,37.63,35.95,37.2
"Jan 28, 2020",37.9,38.45,37.21,37.79
"Jan 29, 2020",38.38,39.32,37.83,38.73
"Jan 30, 2020",42.16,43.39,41.2,42.72
"Jan 31, 2020",42.67,43.53,42.17,43.37
"Feb 3, 2020",44.91,52.41,44.9,52
"Feb 4, 2020",58.86,64.6,55.59,59.14
"Feb 5, 2020",54.88,56.4,46.94,48.98
"Feb 6, 2020",46.66,53.06,45.8,49.93
"Feb 7, 2020",48.7,51.32,48.67,49.87
"Feb 10, 2020",53.33,54.67,50.16,51.42
"Feb 11, 2020",51.25,52.23,50.53,51.63
"Feb 12, 2020",51.86,52.65,50.89,51.15
"Feb 13, 2020",49.46,54.53,49,53.6
"Feb 14, 2020",52.48,54.2,52.37,53.34
"Feb 18, 2020",56.11,57.33,55.49,57.23
"Feb 19, 2020",61.57,62.99,60.07,61.16
"Feb 20, 2020",60.8,60.8,57.33,59.96
"Feb 21, 2020",60.47,60.87,58.7,60.07
"Feb 24, 2020",55.93,57.57,54.81,55.59
"Feb 25, 2020",56.6,57.11,52.47,53.33
"Feb 26, 2020",52.17,54.22,51.74,51.92
"Feb 27, 2020",48.67,49.32,44.6,45.27
"Feb 28, 2020",41.98,46.03,40.77,44.53
"Mar 2, 2020",47.42,49.58,45.78,49.57
"Mar 3, 2020",53.67,53.8,47.74,49.7
"Mar 4, 2020",50.93,51.1,48.32,49.97
"Mar 5, 2020",48.25,49.72,47.87,48.3
"Mar 6, 2020",46,47.13,45.62,46.9
"Mar 9, 2020",40.36,44.2,40.33,40.53
"Mar 10, 2020",43.96,44.53,40.53,43.02
"Mar 11, 2020",42.68,43.57,40.87,42.28
"Mar 12, 2020",38.73,39.63,36.42,37.37
"Mar 13, 2020",39.67,40.5,33.47,36.44
"Mar 16, 2020",31.3,32.99,29.48,29.67
"Mar 17, 2020",29.33,31.46,26.4,28.68
"Mar 18, 2020",25.93,26.99,23.37,24.08
"Mar 19, 2020",24.98,30.13,23.9,28.51
"Mar 20, 2020",29.21,31.8,28.39,28.5
"Mar 23, 2020",28.91,29.47,27.37,28.95
"Mar 24, 2020",31.82,34.25,31.6,33.67
"Mar 25, 2020",36.35,37.13,34.07,35.95
"Mar 26, 2020",36.49,37.33,34.15,35.21
"Mar 27, 2020",33.67,35.05,32.94,34.29
"Mar 30, 2020",34.02,34.44,32.75,33.48
"Mar 31, 2020",33.42,36.2,33.13,34.93
"Apr 1, 2020",33.6,34.26,31.67,32.1
"Apr 2, 2020",32.07,32.95,29.76,30.3
"Apr 3, 2020",33.97,34.37,31.23,32
"Apr 6, 2020",34.08,34.73,33.2,34.42
"Apr 7, 2020",36.33,37.67,35.49,36.36
"Apr 8, 2020",36.95,37.15,35.56,36.59
"Apr 9, 2020",37.47,38.35,37.14,38.2
"Apr 13, 2020",39.34,43.47,38.7,43.4
"Apr 14, 2020",46.6,49.46,46.16,47.33
"Apr 15, 2020",49.47,50.21,47.33,48.66
"Apr 16, 2020",47.8,50.63,47.11,49.68
"Apr 17, 2020",51.49,51.66,49.84,50.26
"Apr 20, 2020",48.85,51.04,47.48,49.76
"Apr 21, 2020",48.67,50.22,44.92,45.78
"Apr 22, 2020",46.93,48.93,45.91,48.81
"Apr 23, 2020",48.51,48.93,46.88,47.04
"Apr 24, 2020",47.39,48.72,46.55,48.34
"Apr 27, 2020",49.17,53.3,49,53.25
"Apr 28, 2020",53.04,53.67,50.45,51.27
"Apr 29, 2020",52.68,53.55,52.21,53.37
"Apr 30, 2020",57.01,57.99,50.9,52.13
"May 1, 2020",50.33,51.52,45.54,46.75
"May 4, 2020",46.73,50.8,46.53,50.75
"May 5, 2020",52.65,53.26,50.81,51.21
"May 6, 2020",51.77,52.65,50.74,52.17
"May 7, 2020",51.81,53.09,51.49,52
"May 8, 2020",52.92,54.93,52.47,54.63
"May 11, 2020",52.7,54.93,52.33,54.09
"May 12, 2020",55.13,56.22,53.87,53.96
"May 13, 2020",54.72,55.07,50.89,52.73
"May 14, 2020",52,53.56,50.93,53.56
"May 15, 2020",52.69,53.67,52.44,53.28
"May 18, 2020",55.19,55.65,53.59,54.24
"May 19, 2020",54.34,54.8,53.74,53.87
"May 20, 2020",54.7,55.07,54.12,54.37
"May 21, 2020",54.4,55.5,53.07,55.17
"May 22, 2020",54.81,55.45,54.13,54.46
"May 26, 2020",55.63,55.64,54.38,54.59
"May 27, 2020",54.72,55.18,52.33,54.68
"May 28, 2020",54.23,54.98,53.45,53.72
"May 29, 2020",53.92,55.67,53.61,55.67
"Jun 1, 2020",57.2,59.93,56.94,59.87
"Jun 2, 2020",59.65,60.58,58.07,58.77
"Jun 3, 2020",59.21,59.86,58.67,58.86
"Jun 4, 2020",59.33,59.72,57.23,57.63
"Jun 5, 2020",58.52,59.1,57.75,59.04
"Jun 8, 2020",61.27,63.33,60.61,63.33
"Jun 9, 2020",62.67,63.63,61.6,62.71
"Jun 10, 2020",66.13,68.5,65.5,68.34
"Jun 11, 2020",66.01,67.93,64.8,64.86
"Jun 12, 2020",65.33,65.87,60.84,62.35
"Jun 15, 2020",61.19,66.59,60.57,66.06
"Jun 16, 2020",67.46,67.53,64.16,65.48
"Jun 17, 2020",65.85,67,65.5,66.12
"Jun 18, 2020",66.87,67.95,66.3,66.93
"Jun 19, 2020",67.52,67.73,66.09,66.73
"Jun 22, 2020",66.66,67.26,66,66.29
"Jun 23, 2020",66.59,67.47,66.27,66.79
"Jun 24, 2020",66.27,66.73,63.54,64.06
"Jun 25, 2020",63.62,65.73,62.48,65.73
"Jun 26, 2020",66.32,66.33,63.66,63.98
"Jun 29, 2020",64.6,67.33,63.23,67.29
"Jun 30, 2020",67.1,72.51,66.92,71.99
"Jul 1, 2020",72.2,75.69,72.03,74.64
"Jul 2, 2020",81.43,81.87,79.04,80.58
"Jul 6, 2020",85.11,91.85,84.4,91.44
"Jul 7, 2020",93.67,95.3,89.11,92.66
"Jul 8, 2020",93.67,94.48,87.42,91.06
"Jul 9, 2020",93.13,93.9,90.09,92.95
"Jul 10, 2020",93.07,103.26,91.73,102.98
"Jul 13, 2020",110.6,119.67,98.07,99.8
"Jul 14, 2020",103.73,106,95.4,101.12
"Jul 15, 2020",102.87,103.33,97.13,103.07
"Jul 16, 2020",98.48,102.11,97.73,100.04
"Jul 17, 2020",100.9,102.5,99.33,100.06
"Jul 20, 2020",101.27,110,99.2,109.53
"Jul 21, 2020",109.33,111.67,103.87,104.56
"Jul 22, 2020",106.6,108.43,104.13,106.16
"Jul 23, 2020",111.93,112.6,98.72,100.87
"Jul 24, 2020",94.4,97.67,91.1,94.47
"Jul 27, 2020",95.67,103.2,94.2,102.64
"Jul 28, 2020",100.27,104.31,98.29,98.43
"Jul 29, 2020",100.07,102.32,99.13,99.94
"Jul 30, 2020",99.2,100.88,98.07,99.17
"Jul 31, 2020",101,101.14,94.73,95.38
"Aug 3, 2020",96.61,100.65,96.29,99
"Aug 4, 2020",99.67,101.83,97.47,99.13
"Aug 5, 2020",99.53,99.99,97.89,99
"Aug 6, 2020",99.39,101.15,98.48,99.31
"Aug 7, 2020",99.97,99.98,94.33,96.85
"Aug 10, 2020",96.53,97.17,92.39,94.57
"Aug 11, 2020",93.07,94.67,91,91.63
"Aug 12, 2020",98,105.67,95.67,103.65
"Aug 13, 2020",107.4,110.08,104.48,108.07
"Aug 14, 2020",111,111.25,108.44,110.05
"Aug 17, 2020",111.8,123.06,111.52,122.38
"Aug 18, 2020",126.6,128.26,123.01,125.81
"Aug 19, 2020",124.33,127.4,122.75,125.24
"Aug 20, 2020",124.05,134.8,123.8,133.46
"Aug 21, 2020",136.32,139.7,135,136.67
"Aug 24, 2020",141.75,141.93,128.5,134.28
"Aug 25, 2020",131.66,135.2,131.2,134.89
"Aug 26, 2020",137.33,144.4,136.91,143.54
"Aug 27, 2020",145.36,153.04,142.83,149.25
"Aug 28, 2020",153.01,154.57,145.77,147.56
"Aug 31, 2020",148.2,166.71,146.7,166.11
"Sep 1, 2020",167.38,167.5,156.84,158.35
"Sep 2, 2020",159.66,159.68,135.04,149.12
"Sep 3, 2020",135.74,143.93,134,135.67
"Sep 4, 2020",134.27,142.67,124.01,139.44
"Sep 8, 2020",118.67,122.91,109.96,110.07
"Sep 9, 2020",118.87,123,113.84,122.09
"Sep 10, 2020",128.74,133,120.19,123.78
"Sep 11, 2020",127.31,127.5,120.17,124.24
