Date,Open,High,Low,Close
"Dec 31, 2019",19.72,19.91,19.7,19.91
"Jan 2, 2020",20.27,20.43,20.16,20.43
"Jan 3, 2020",20.59,20.64,20.39,20.49
"Jan 6, 2020",20.9,21.04,20.88,20.96
"Jan 7, 2020",20.68,20.74,20.54,20.72
"Jan 8, 2020",20.74,20.79,20.45,20.56
"Jan 9, 2020",20.47,20.7,20.34,20.67
"Jan 10, 2020",20.49,20.58,20.38,20.44
"Jan 13, 2020",20.35,20.52,20.29,20.49
"Jan 14, 2020",20.42,20.45,20.26,20.43
"Jan 15, 2020",20.24,20.26,20.07,20.11
"Jan 16, 2020",20.45,20.46,20.29,20.3
"Jan 17, 2020",20.47,20.48,20.28,20.39
"Jan 21, 2020",20.16,20.5,19.92,19.92
"Jan 22, 2020",20.03,20.06,19.94,20
"Jan 23, 2020",19.76,20.01,19.61,19.97
"Jan 24, 2020",19.91,19.98,19.73,19.83
"Jan 27, 2020",19.34,19.45,19.14,19.22
"Jan 28, 2020",19.19,19.3,19.15,19.2
"Jan 29, 2020",19.1,19.13,18.89,18.89
"Jan 30, 2020",18.53,18.79,18.4,18.76
"Jan 31, 2020",18.25,18.36,18.12,18.18
"Feb 3, 2020",18.03,18.16,17.85,17.88
"Feb 4, 2020",18.28,18.33,18.01,18.02
"Feb 5, 2020",18.61,18.72,18.51,18.61
"Feb 6, 2020",18.14,18.23,17.83,17.9
"Feb 7, 2020",17.31,17.42,17.24,17.28
"Feb 10, 2020",16.73,16.78,16.65,16.72
"Feb 11, 2020",17.21,17.29,17.13,17.24
"Feb 12, 2020",17.6,17.67,17.41,17.54
"Feb 13, 2020",17.3,17.56,17.28,17.48
"Feb 14, 2020",17.53,17.53,17.36,17.45
"Feb 18, 2020",16.77,17.12,16.77,17.12
"Feb 19, 2020",17.26,17.41,17.18,17.34
"Feb 20, 2020",17.28,17.39,17.26,17.29
"Feb 21, 2020",17,17.19,16.95,17.14
"Feb 24, 2020",16.05,16.32,16.05,16.21
"Feb 25, 2020",16.28,16.29,15.84,15.89
"Feb 26, 2020",16.07,16.26,15.82,15.82
"Feb 27, 2020",15.32,15.71,15.14,15.26
"Feb 28, 2020",14.79,15.56,14.78,15.55
"Mar 2, 2020",15.67,15.95,15.39,15.94
"Mar 3, 2020",16.1,16.38,15.68,15.81
"Mar 4, 2020",15.98,16,15.75,15.98
"Mar 5, 2020",15.64,15.75,15.4,15.53
"Mar 6, 2020",15.14,15.26,14.66,14.77
"Mar 9, 2020",11.94,12.42,11.64,11.66
"Mar 10, 2020",12.21,12.25,11.51,12.05
"Mar 11, 2020",11.38,11.51,11.01,11.15
"Mar 12, 2020",9.85,10.09,9.68,9.69
"Mar 13, 2020",10.7,10.82,9.84,10.61
"Mar 16, 2020",9.15,10.04,9.15,9.2
"Mar 17, 2020",9.9,10.43,9.58,9.96
"Mar 18, 2020",9.33,9.44,8.41,8.84
"Mar 19, 2020",9.09,10,8.83,9.78
"Mar 20, 2020",9.94,10.05,9.23,9.51
"Mar 23, 2020",9.57,9.67,9.13,9.17
"Mar 24, 2020",10.09,10.54,10.06,10.39
"Mar 25, 2020",11.08,11.88,10.69,11.67
"Mar 26, 2020",11.38,11.94,11.36,11.83
"Mar 27, 2020",10.97,11.1,10.81,10.88
"Mar 30, 2020",11.21,11.57,11.03,11.41
"Mar 31, 2020",12.36,12.58,11.92,12.18
"Apr 1, 2020",12.66,13.03,12.3,12.41
"Apr 2, 2020",13.27,14.4,12.93,13.7
"Apr 3, 2020",13.36,13.43,12.57,12.87
"Apr 6, 2020",12.86,13.09,12.66,13.04
"Apr 7, 2020",13.35,13.6,12.93,12.95
"Apr 8, 2020",13.21,13.63,12.9,13.39
"Apr 9, 2020",13.74,14,12.93,13.25
"Apr 13, 2020",13.49,13.54,13.09,13.17
"Apr 14, 2020",12.82,13.12,12.72,12.81
"Apr 15, 2020",12.35,12.38,12.08,12.28
"Apr 16, 2020",11.98,12.01,11.78,11.86
"Apr 17, 2020",12.25,13.04,12.22,13.04
"Apr 20, 2020",12.35,12.89,12.33,12.41
"Apr 21, 2020",11.84,12.31,11.79,12.02
"Apr 22, 2020",12.45,12.6,12.33,12.58
"Apr 23, 2020",12.44,12.98,12.42,12.51
"Apr 24, 2020",12.69,12.77,12.39,12.69
"Apr 27, 2020",12.63,13.01,12.49,12.9
"Apr 28, 2020",12.89,13.11,12.79,13
"Apr 29, 2020",13.54,13.9,13.52,13.88
"Apr 30, 2020",13.86,14.05,13.46,13.58
"May 1, 2020",13.32,13.33,12.9,12.96
"May 4, 2020",12.89,13.16,12.76,13.16
"May 5, 2020",13.68,13.88,13.38,13.4
"May 6, 2020",13.07,13.16,12.76,12.86
"May 7, 2020",13.47,13.61,13.3,13.35
"May 8, 2020",13.63,13.79,13.54,13.77
"May 11, 2020",13.81,13.84,13.58,13.58
"May 12, 2020",13.97,13.99,13.64,13.64
"May 13, 2020",13.91,13.93,13.32,13.4
"May 14, 2020",13.23,13.62,13.04,13.45
"May 15, 2020",13.43,13.71,13.33,13.48
"May 18, 2020",14.18,14.45,14.18,14.39
"May 19, 2020",14.72,14.72,14.46,14.46
"May 20, 2020",15,15.21,14.93,15.2
"May 21, 2020",15.25,15.33,15,15.06
"May 22, 2020",14.57,14.83,14.49,14.78
"May 26, 2020",15.09,15.13,14.93,15
"May 27, 2020",15.29,15.34,15.02,15.26
"May 28, 2020",15.19,15.19,14.94,14.97
"May 29, 2020",14.55,14.69,14.38,14.59
